item_id,attack_id,release_a,release_b,bin,jaccard,seqmatch,char3_jaccard,sentence_jaccard,tfidf_cosine,version_a,version_b,major_bump,any_bump,tactic_changed,platform_changed,name_changed,codebook_example
A071,T1072,14.0,15.0,0.40-0.60,0.5340909090909091,0.5432174715472162,0.5743756786102063,0.06666666666666667,0.6780345100195605,2.2,3.0,True,True,False,True,False,True
A072,T1548.001,10.0,11.0,0.40-0.60,0.5698324022346368,0.5364296081277213,0.6301969365426696,0.0,0.8293161546059551,1.0,1.1,False,True,False,False,False,False
A073,T1137,6.0,7.0,J<0.40,0.25089605734767023,0.18450946643717728,0.2934451219512195,0.04,0.7233155107097784,1.2,1.2,False,False,False,False,False,False
A074,T1564.008,12.0,13.0,0.60-0.80,0.7643312101910829,0.8369843527738264,0.8212616822429907,0.7,0.9368234143979497,1.1,1.2,False,True,False,False,False,False
A075,T1129,10.0,11.0,J>=0.95,1.0,0.9996372869060574,0.9923896499238964,0.6666666666666666,1.0,2.1,2.1,False,False,False,False,False,True
A076,T1560,14.0,15.0,0.80-0.95,0.9,0.962172647914646,0.8928571428571429,0.4,0.9357312327072925,1.0,1.0,False,False,False,False,False,False
A077,T1187,17.0,18.0,0.80-0.95,0.8601694915254238,0.874565560821485,0.8699254349627175,0.23076923076923078,0.9317671851899398,1.3,1.4,False,True,False,False,False,False
A078,T1134.002,9.0,10.0,J<0.40,0.34210526315789475,0.278434940855323,0.3778280542986425,0.0,0.48837689560038583,1.0,1.1,False,True,False,False,False,False
A079,T1558,9.0,10.0,J<0.40,0.357487922705314,0.4186413902053712,0.4378585086042065,0.3333333333333333,0.6771640713659999,1.2,1.3,False,True,False,True,False,False
A080,T1480,6.0,7.0,0.40-0.60,0.4563106796116505,0.38486386709736964,0.5330776605944392,0.0,0.5210321424525927,1.0,1.1,False,True,False,False,False,False
A081,T1087,14.0,15.0,0.80-0.95,0.9252336448598131,0.9601181683899557,0.9308072487644151,0.5714285714285714,0.9505406523274279,2.4,2.4,False,False,False,False,False,False
A082,T1564.003,16.0,17.0,0.80-0.95,0.8734939759036144,0.9017881705639614,0.869757174392936,0.7,0.9453557087990332,1.2,1.3,False,True,False,False,False,False
A083,T1089,2.0,3.0,0.40-0.60,0.4880952380952381,0.5318606627017842,0.4909090909090909,0.3333333333333333,0.6926972241184611,1.0,1.0,False,False,False,False,False,False
A084,T1187,2.0,3.0,0.60-0.80,0.768595041322314,0.8304794520547946,0.7928748964374482,0.4,0.9034321638005125,1.0,1.0,False,False,False,False,False,False
A085,T1110,9.0,10.0,0.40-0.60,0.5894736842105263,0.59391771019678,0.5845323741007195,0.5,0.7954298255180701,2.2,2.3,False,True,False,False,False,True
A086,T1071,12.0,13.0,J>=0.95,0.9855072463768116,0.9965986394557823,0.9847715736040609,0.6,0.9831182221679758,2.0,2.1,False,True,False,False,False,False
A087,T1574.011,9.0,10.0,0.60-0.80,0.7045454545454546,0.6808510638297872,0.7392638036809815,0.21428571428571427,0.8289182459410271,1.0,1.1,False,True,False,False,False,False
A088,T1040,2.0,3.0,0.40-0.60,0.422360248447205,0.27757721620537507,0.4519774011299435,0.06666666666666667,0.6457558109038719,1.0,1.0,False,False,True,False,False,False
A089,T1098.001,13.0,14.0,0.80-0.95,0.896969696969697,0.9137393473290376,0.9153269024651661,0.625,0.9647878734895312,2.5,2.6,False,True,True,False,False,False
A090,T1047,14.0,15.0,0.40-0.60,0.5263157894736842,0.6142759094028827,0.5653710247349824,0.14285714285714285,0.822114088804564,1.4,1.5,False,True,False,False,False,True
A091,T1218,6.0,7.0,J<0.40,0.2236024844720497,0.17716960749009722,0.23156801661474558,0.16666666666666666,0.2308756217930081,2.0,2.1,False,True,True,False,False,False
A092,T1196,2.0,3.0,0.40-0.60,0.43037974683544306,0.4667143879742305,0.463768115942029,0.3,0.889892744128208,1.0,1.0,False,False,False,False,False,False
A093,T1553.001,9.0,10.0,0.40-0.60,0.5678391959798995,0.267260579064588,0.6037383177570094,0.0,0.8605908198479278,1.0,1.1,False,True,False,False,False,False
A094,T1036.005,16.0,17.0,0.60-0.80,0.6551724137931034,0.5382436260623229,0.7053941908713693,0.1,0.8334998477028548,1.2,2.0,True,True,False,True,True,False
A095,T1110,3.0,4.0,0.60-0.80,0.6704545454545454,0.8146018970968669,0.6872246696035242,0.3333333333333333,0.6881983515208038,1.0,1.1,False,True,False,False,False,False
A096,T1120,2.0,3.0,J<0.40,0.3333333333333333,0.4146341463414634,0.3659491193737769,0.25,0.6470215057041057,1.0,1.0,False,False,False,False,False,False
A097,T1221,6.0,7.0,0.80-0.95,0.9171597633136095,0.9381090334474586,0.9413173652694611,0.4666666666666667,0.979289267728166,1.1,1.2,False,True,False,False,False,False
A098,T1127,6.0,7.0,J<0.40,0.28780487804878047,0.10560295134885866,0.34881422924901184,0.0,0.5194476147580718,1.1,1.2,False,True,True,False,True,False
A099,T1574.001,17.0,18.0,0.80-0.95,0.8536585365853658,0.9164823008849557,0.8902439024390244,0.7,0.9689864168631863,2.0,2.1,False,True,False,False,False,False
A100,T1495,10.0,11.0,0.60-0.80,0.7361111111111112,0.7403685092127303,0.6859688195991092,0.2,0.89379009436586,1.0,1.1,False,True,False,True,False,False
A101,T1079,2.0,3.0,J<0.40,0.17857142857142858,0.22714681440443213,0.21899736147757257,0.1111111111111111,0.451668276782051,1.0,1.0,False,False,False,False,False,False
A102,T1126,2.0,3.0,J<0.40,0.3709677419354839,0.40447046301224054,0.36046511627906974,0.09090909090909091,0.7134481110046348,1.0,1.0,False,False,False,False,False,False
A103,T1583,13.0,14.0,0.80-0.95,0.8811881188118812,0.9345981028457314,0.8839869281045751,0.6666666666666666,0.9436794103154048,1.2,1.3,False,True,False,False,False,False
A104,T1018,5.0,6.0,0.80-0.95,0.8918918918918919,0.9189915966386555,0.9017160686427457,0.8181818181818182,0.9734296182776563,1.1,2.0,True,True,False,True,False,False
A105,T1119,14.0,15.0,0.80-0.95,0.93,0.968721251149954,0.9261168384879725,0.5,0.9587415834939614,1.1,1.2,False,True,False,False,False,False
A106,T1539,8.0,9.0,J>=0.95,0.9777777777777777,0.996876084692815,0.9813218390804598,0.5555555555555556,0.9921158414022112,1.0,1.1,False,True,False,True,False,False
A107,T1543.002,7.0,8.0,0.80-0.95,0.9254658385093167,0.9475170628383149,0.9322617680826636,0.7777777777777778,0.9598638500655609,1.0,1.2,False,True,False,False,False,False
A108,T1012,2.0,3.0,J<0.40,0.3106796116504854,0.43097643097643096,0.3721311475409836,0.3,0.683887430957432,1.0,1.0,False,False,False,False,False,False
A109,T1547.011,9.0,10.0,J<0.40,0.24675324675324675,0.08020624462904612,0.349862258953168,0.0,0.44050450590803847,1.0,1.1,False,True,False,False,False,False
A110,T1129,3.0,4.0,J>=0.95,0.9775280898876404,0.9938325991189427,0.9637023593466425,0.7142857142857143,0.9910089150819709,1.0,1.0,False,False,False,False,False,False
A111,T1170,5.0,6.0,J>=0.95,0.9652173913043478,0.9879062736205594,0.966275659824047,0.75,0.9935663301653406,1.1,1.2,False,True,False,False,False,False
A112,T1183,2.0,3.0,0.40-0.60,0.5660377358490566,0.4704391891891892,0.610726643598616,0.15789473684210525,0.7406035643328696,1.0,1.0,False,False,False,False,False,False
A113,T1110.001,10.0,11.0,0.80-0.95,0.8806818181818182,0.9372222222222222,0.8856825749167592,0.6666666666666666,0.9689154855768425,1.2,1.3,False,True,False,True,False,False
A114,T1216.001,9.0,10.0,0.40-0.60,0.4461538461538462,0.17543859649122806,0.4485006518904824,0.0,0.7338004162584367,1.0,1.1,False,True,False,False,False,False
A115,T1098,5.0,6.0,J<0.40,0.38414634146341464,0.51430781129157,0.45353159851301117,0.4,0.6329329660801962,1.0,2.0,True,True,False,True,False,False
